ESTADO,MUNICIPIO,NUCLEO_AGRARIO,Merged
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,202060003
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,CONTLALCO,Error1
OAXACA,SAN JUAN DE LOS CUES,CONTLALCO,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,CONTLALCO,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,CONTLALCO,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,CONTLALCO,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,CONTLALCO,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,CONTLALCO,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,CONTLALCO,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,CONTLALCO,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,CONTLALCO,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,CONTLALCO,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,CONTLALCO,Error1
OAXACA,SAN JUAN DE LOS CUES,CONTLALCO,Error1
OAXACA,SAN JUAN DE LOS CUES,CONTLALCO,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,CONTLALCO,Error1
OAXACA,SAN JUAN DE LOS CUES,CONTLALCO,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
OAXACA,SAN JUAN DE LOS CUES,CONTLALCO,Error1
OAXACA,SAN JUAN DE LOS CUES,SAN ANTONIO NOPALERA,Error1
